# File: Subregions_Thailand_industry_shares.csv
# Title: Subregions and rest-of-Thailand shares for different types of industrial sectors
# Units: Percentage
# Description: Computed off-line
# Column types: cicn
# ----------
"region","year","type","share"
"SamutPrakan",1970,"other",5
"SamutPrakan",1971,"other",5
"SamutPrakan",1972,"other",5
"SamutPrakan",1973,"other",5
"SamutPrakan",1974,"other",5
"SamutPrakan",1975,"other",5
"SamutPrakan",1976,"other",5
"SamutPrakan",1977,"other",5
"SamutPrakan",1978,"other",5
"SamutPrakan",1979,"other",5
"SamutPrakan",1980,"other",5
"SamutPrakan",1981,"other",5
"SamutPrakan",1982,"other",5
"SamutPrakan",1983,"other",5
"SamutPrakan",1984,"other",5
"SamutPrakan",1985,"other",5
"SamutPrakan",1986,"other",5
"SamutPrakan",1987,"other",5
"SamutPrakan",1988,"other",5
"SamutPrakan",1989,"other",5
"SamutPrakan",1990,"other",5
"SamutPrakan",1991,"other",5
"SamutPrakan",1992,"other",5
"SamutPrakan",1993,"other",5
"SamutPrakan",1994,"other",5
"SamutPrakan",1995,"other",5
"SamutPrakan",1996,"other",5
"SamutPrakan",1997,"other",5
"SamutPrakan",1998,"other",5
"SamutPrakan",1999,"other",5
"SamutPrakan",2000,"other",5
"SamutPrakan",2001,"other",5
"SamutPrakan",2002,"other",5
"SamutPrakan",2003,"other",5
"SamutPrakan",2004,"other",5
"SamutPrakan",2005,"other",5
"SamutPrakan",2006,"other",5
"SamutPrakan",2007,"other",5
"SamutPrakan",2008,"other",5
"SamutPrakan",2009,"other",5
"SamutPrakan",2010,"other",5
"SamutPrakan",2011,"other",5
"SamutPrakan",2012,"other",5
"SamutPrakan",2013,"other",5
"SamutPrakan",2014,"other",5
"SamutPrakan",2015,"other",5
"SamutPrakan",2016,"other",5
"SamutPrakan",2017,"other",5
"SamutPrakan",2018,"other",5
"SamutPrakan",2019,"other",5
"SamutPrakan",2020,"other",5
"SamutPrakan",2021,"other",5
"SamutPrakan",2022,"other",5
"SamutPrakan",2023,"other",5
"SamutPrakan",2024,"other",5
"SamutPrakan",2025,"other",5
"SamutPrakan",2026,"other",5
"SamutPrakan",2027,"other",5
"SamutPrakan",2028,"other",5
"SamutPrakan",2029,"other",5
"SamutPrakan",2030,"other",5
"SamutPrakan",2031,"other",5
"SamutPrakan",2032,"other",5
"SamutPrakan",2033,"other",5
"SamutPrakan",2034,"other",5
"SamutPrakan",2035,"other",5
"SamutPrakan",2036,"other",5
"SamutPrakan",2037,"other",5
"SamutPrakan",2038,"other",5
"SamutPrakan",2039,"other",5
"SamutPrakan",2040,"other",5
"SamutPrakan",2041,"other",5
"SamutPrakan",2042,"other",5
"SamutPrakan",2043,"other",5
"SamutPrakan",2044,"other",5
"SamutPrakan",2045,"other",5
"SamutPrakan",2046,"other",5
"SamutPrakan",2047,"other",5
"SamutPrakan",2048,"other",5
"SamutPrakan",2049,"other",5
"SamutPrakan",2050,"other",5
"SamutPrakan",2051,"other",5
"SamutPrakan",2052,"other",5
"SamutPrakan",2053,"other",5
"SamutPrakan",2054,"other",5
"SamutPrakan",2055,"other",5
"SamutPrakan",2056,"other",5
"SamutPrakan",2057,"other",5
"SamutPrakan",2058,"other",5
"SamutPrakan",2059,"other",5
"SamutPrakan",2060,"other",5
"SamutPrakan",2061,"other",5
"SamutPrakan",2062,"other",5
"SamutPrakan",2063,"other",5
"SamutPrakan",2064,"other",5
"SamutPrakan",2065,"other",5
"SamutPrakan",2066,"other",5
