# File: Subregions_Malaysia_pop.csv
# Title: Subregions and rest-of-Malaysia population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"Malaysia",1971,11.062433
"Malaysia",1972,11.324277
"Malaysia",1973,11.592638
"Malaysia",1974,11.871104
"Malaysia",1975,12.162187
"Malaysia",1976,12.468689
"Malaysia",1977,12.790312
"Malaysia",1978,13.122839
"Malaysia",1979,13.460031
"Malaysia",1980,13.798085
"Malaysia",1981,14.134058
"Malaysia",1982,14.471211
"Malaysia",1983,14.819424
"Malaysia",1984,15.192298
"Malaysia",1985,15.598927
"Malaysia",1986,16.043731
"Malaysia",1987,16.522
"Malaysia",1988,17.022465
"Malaysia",1989,17.528961
"Malaysia",1990,18.029824
"Malaysia",1991,18.519937
"Malaysia",1992,19.002656
"Malaysia",1993,19.484898
"Malaysia",1994,19.9775
"Malaysia",1995,20.487607
"Malaysia",1996,21.017613
"Malaysia",1997,21.562793
"Malaysia",1998,22.114654
"Malaysia",1999,22.661298
"Malaysia",2000,23.194257
"Malaysia",2001,23.709119
"Malaysia",2002,24.208391
"Malaysia",2003,24.698819
"Malaysia",2004,25.190652
"Malaysia",2005,25.690611
"Malaysia",2006,26.201961
"Malaysia",2007,26.72037
"Malaysia",2008,27.236006
"Malaysia",2009,27.73504
"Malaysia",2010,28.208035
"Malaysia",2011,28.650959
"Malaysia",2012,29.068189
"Malaysia",2013,29.468923
"Malaysia",2014,29.866603
"Malaysia",2015,30.270962
"Malaysia",2016,30.684654
"Malaysia",2017,31.104646
"Malaysia",2018,31.528033
"Malaysia",2019,31.949777
"Malaysia",2020,32.365999
"Malaysia",2021,32.776194
"Malaysia",2022,33.181072
"Malaysia",2023,33.579265
"Malaysia",2024,33.96929
"Malaysia",2025,34.349936
"Malaysia",2026,34.720347
"Malaysia",2027,35.080112
"Malaysia",2028,35.429087
"Malaysia",2029,35.767388
"Malaysia",2030,36.095054
"Malaysia",2031,36.411996
"Malaysia",2032,36.7179
"Malaysia",2033,37.012445
"Malaysia",2034,37.295251
"Malaysia",2035,37.566148
"Malaysia",2036,37.825112
"Malaysia",2037,38.072527
"Malaysia",2038,38.30922
"Malaysia",2039,38.536264
"Malaysia",2040,38.754574
"Malaysia",2041,38.964542
"Malaysia",2042,39.166396
