# File: Subregions_Malaysia_industry_shares.csv
# Title: Subregions and rest-of-Malaysia shares for different types of industrial sectors
# Units: Percentage
# Description: Computed off-line
# Column types: cicn
# ----------
"region","year","type","share"
"KualaLumpur",1970,"other",5
"KualaLumpur",1971,"other",5
"KualaLumpur",1972,"other",5
"KualaLumpur",1973,"other",5
"KualaLumpur",1974,"other",5
"KualaLumpur",1975,"other",5
"KualaLumpur",1976,"other",5
"KualaLumpur",1977,"other",5
"KualaLumpur",1978,"other",5
"KualaLumpur",1979,"other",5
"KualaLumpur",1980,"other",5
"KualaLumpur",1981,"other",5
"KualaLumpur",1982,"other",5
"KualaLumpur",1983,"other",5
"KualaLumpur",1984,"other",5
"KualaLumpur",1985,"other",5
"KualaLumpur",1986,"other",5
"KualaLumpur",1987,"other",5
"KualaLumpur",1988,"other",5
"KualaLumpur",1989,"other",5
"KualaLumpur",1990,"other",5
"KualaLumpur",1991,"other",5
"KualaLumpur",1992,"other",5
"KualaLumpur",1993,"other",5
"KualaLumpur",1994,"other",5
"KualaLumpur",1995,"other",5
"KualaLumpur",1996,"other",5
"KualaLumpur",1997,"other",5
"KualaLumpur",1998,"other",5
"KualaLumpur",1999,"other",5
"KualaLumpur",2000,"other",5
"KualaLumpur",2001,"other",5
"KualaLumpur",2002,"other",5
"KualaLumpur",2003,"other",5
"KualaLumpur",2004,"other",5
"KualaLumpur",2005,"other",5
"KualaLumpur",2006,"other",5
"KualaLumpur",2007,"other",5
"KualaLumpur",2008,"other",5
"KualaLumpur",2009,"other",5
"KualaLumpur",2010,"other",5
"KualaLumpur",2011,"other",5
"KualaLumpur",2012,"other",5
"KualaLumpur",2013,"other",5
"KualaLumpur",2014,"other",5
"KualaLumpur",2015,"other",5
"KualaLumpur",2016,"other",5
"KualaLumpur",2017,"other",5
"KualaLumpur",2018,"other",5
"KualaLumpur",2019,"other",5
"KualaLumpur",2020,"other",5
"KualaLumpur",2021,"other",5
"KualaLumpur",2022,"other",5
"KualaLumpur",2023,"other",5
"KualaLumpur",2024,"other",5
"KualaLumpur",2025,"other",5
"KualaLumpur",2026,"other",5
"KualaLumpur",2027,"other",5
"KualaLumpur",2028,"other",5
"KualaLumpur",2029,"other",5
"KualaLumpur",2030,"other",5
"KualaLumpur",2031,"other",5
"KualaLumpur",2032,"other",5
"KualaLumpur",2033,"other",5
"KualaLumpur",2034,"other",5
"KualaLumpur",2035,"other",5
"KualaLumpur",2036,"other",5
"KualaLumpur",2037,"other",5
"KualaLumpur",2038,"other",5
"KualaLumpur",2039,"other",5
"KualaLumpur",2040,"other",5
"KualaLumpur",2041,"other",5
"KualaLumpur",2042,"other",5
"KualaLumpur",2043,"other",5
