# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Bangkok",1993,11.05747797
"Bangkok",1994,12.29646696
"Bangkok",1995,13.89784087
"Bangkok",1996,14.46671398
"Bangkok",1997,11.12676537
"Bangkok",1998,7.962575417
"Bangkok",1999,8.83702443
"Bangkok",2000,8.779299606
"Bangkok",2001,8.275420353
"Bangkok",2002,8.704418168
"Bangkok",2003,9.319340306
"Bangkok",2004,10.63788353
"Bangkok",2005,11.14964539
"Bangkok",2006,12.12795387
"Bangkok",2007,14.44080712
"Bangkok",2008,14.41963861
"Bangkok",2009,13.74802095
"Bangkok",2010,15.62624543
"Bangkok",2011,17.28622579
"Bangkok",2012,18.17747587
"Bangkok",2013,19.49122199
"Bangkok",2014,19.20775562
"Bangkok",2015,19.14504383
"Bangkok",2016,19.73025928
"Bangkok",2017,21.37348293
"Bangkok",2018,23.3958491
"Bangkok",2019,25.27591372
"Bangkok",2020,23.19521307
"Bangkok",2021,22.79307828
"Bangkok",2022,23.79720965
"Bangkok",2023,24.27195262
"Bangkok",2024,24.76089783
"Bangkok",2025,25.26388273
"Bangkok",2026,25.78153136
"Bangkok",2027,26.31419762
"Bangkok",2028,26.8621336
"Bangkok",2029,27.4254716
"Bangkok",2030,28.00422686
"Bangkok",2031,28.59835141
"Bangkok",2032,29.2078024
"Bangkok",2033,29.65181519
"Bangkok",2034,30.29161887
"Bangkok",2035,30.76534983
"Bangkok",2036,31.43718163
"Bangkok",2037,31.94328752
"Bangkok",2038,32.65136421
"Bangkok",2039,33.19480905
"Bangkok",2040,33.75866214
"Bangkok",2041,34.27776499
"Bangkok",2042,34.80069282
"Bangkok",2043,35.32746896
"Bangkok",2044,35.85811667
"Bangkok",2045,36.39879764
"Bangkok",2046,36.95305015
"Bangkok",2047,37.5211506
"Bangkok",2048,37.90988946
"Bangkok",2049,38.50519826
"Bangkok",2050,38.91921078
"Bangkok",2051,39.54206776
"Bangkok",2052,39.9814346
"Bangkok",2053,40.63187157
"Bangkok",2054,41.09604664
"Bangkok",2055,41.77339306
"Bangkok",2056,42.26150651
"Bangkok",2057,42.76059242
"Bangkok",2058,43.47609504
"Bangkok",2059,43.99670647
"Bangkok",2060,44.52633974
"Bangkok",2061,45.27511091
"Bangkok",2062,45.82308796
"Bangkok",2063,46.37884395
"Bangkok",2064,47.15728876
"Bangkok",2065,47.72896329
"Bangkok",2066,48.30721222
"Bangkok",2067,48.89164286
"Bangkok",2068,49.48176582
"Bangkok",2069,50.30061244
"Bangkok",2070,50.90228203
"Bangkok",2071,51.50836366
"Bangkok",2072,52.1187391
"Bangkok",2073,52.73352554
"Bangkok",2074,53.35306846
"Bangkok",2075,53.9776845
"Bangkok",2076,54.60738334
"Bangkok",2077,55.24222256
"Bangkok",2078,55.88270568
"Bangkok",2079,56.52952887
"Bangkok",2080,57.18326536
"Bangkok",2081,57.84419447
"Bangkok",2082,58.5124179
"Bangkok",2083,59.18823353
"Bangkok",2084,59.62246962
"Bangkok",2085,60.31239408
"Bangkok",2086,61.01047297
