# File: Subregions_Thailand_pop.csv
# Title: Subregions and rest-of-Thailand population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"Bangkok",1993,5.572712
"Bangkok",1994,5.584226
"Bangkok",1995,5.570743
"Bangkok",1996,5.584963
"Bangkok",1997,5.604772
"Bangkok",1998,5.647799
"Bangkok",1999,5.662499
"Bangkok",2000,5.68038
"Bangkok",2001,5.726203
"Bangkok",2002,5.782159
"Bangkok",2003,5.844618
"Bangkok",2004,5.631321
"Bangkok",2005,5.658954
"Bangkok",2006,5.695958
"Bangkok",2007,5.716248
"Bangkok",2008,5.710883
"Bangkok",2009,5.702595
"Bangkok",2010,5.701394
"Bangkok",2011,5.674843
"Bangkok",2012,5.67356
"Bangkok",2013,5.686252
"Bangkok",2014,5.692284
"Bangkok",2015,5.696409
"Bangkok",2016,5.686646
"Bangkok",2017,5.682415
"Bangkok",2018,5.676648
"Bangkok",2019,5.666264
"Bangkok",2020,5.588222
"Bangkok",2021,5.527994
"Bangkok",2022,5.54686881
"Bangkok",2023,5.56197526
"Bangkok",2024,5.57330356
"Bangkok",2025,5.58108987
"Bangkok",2026,5.58539359
"Bangkok",2027,5.58633792
"Bangkok",2028,5.58406872
"Bangkok",2029,5.57875548
"Bangkok",2030,5.57058764
"Bangkok",2031,5.55976104
"Bangkok",2032,5.54646316
"Bangkok",2033,5.5308587
"Bangkok",2034,5.5130761
"Bangkok",2035,5.49319286
"Bangkok",2036,5.47122837
"Bangkok",2037,5.4471538
"Bangkok",2038,5.42090673
"Bangkok",2039,5.39240939
"Bangkok",2040,5.36158688
"Bangkok",2041,5.33873781
"Bangkok",2042,5.31598612
"Bangkok",2043,5.29333138
"Bangkok",2044,5.27077319
"Bangkok",2045,5.24742608
"Bangkok",2046,5.22284356
"Bangkok",2047,5.19706877
"Bangkok",2048,5.17015488
"Bangkok",2049,5.14216285
"Bangkok",2050,5.1131561
"Bangkok",2051,5.08319396
"Bangkok",2052,5.05234497
"Bangkok",2053,5.02068923
"Bangkok",2054,4.98831437
"Bangkok",2055,4.95530731
"Bangkok",2056,4.92173652
"Bangkok",2057,4.88767784
"Bangkok",2058,4.85324176
"Bangkok",2059,4.8185425
"Bangkok",2060,4.78368537
"Bangkok",2061,4.74874596
"Bangkok",2062,4.71378097
"Bangkok",2063,4.67885746
"Bangkok",2064,4.64403289
"Bangkok",2065,4.60936054
"Bangkok",2066,4.57488623
"Bangkok",2067,4.54065331
"Bangkok",2068,4.50671063
"Bangkok",2069,4.47310657
"Bangkok",2070,4.43987953
"Bangkok",2071,4.40705128
"Bangkok",2072,4.37462617
"Bangkok",2073,4.34258847
"Bangkok",2074,4.31090482
"Bangkok",2075,4.2795463
"Bangkok",2076,4.24850974
"Bangkok",2077,4.2177883
"Bangkok",2078,4.18734199
"Bangkok",2079,4.15711938
"Bangkok",2080,4.12708156
"Bangkok",2081,4.09721325
"Bangkok",2082,4.06751265
"Bangkok",2083,4.03796474
"Bangkok",2084,4.00855586
"Bangkok",2085,3.9792816
"Bangkok",2086,3.95014148
"Bangkok",2087,3.92114559
"Bangkok",2088,3.89230214
"Bangkok",2089,3.86362743
"Bangkok",2090,3.83514301
"Bangkok",2091,3.80687051
"Bangkok",2092,3.77883893
"Bangkok",2093,3.75108177
"Bangkok",2094,3.7236354
"Bangkok",2095,3.69653999
"Bangkok",2096,3.66984507
"Bangkok",2097,3.64359781
"Bangkok",2098,3.61785729
"Bangkok",2099,3.59268135
"Bangkok",2100,3.56813683
"Nonthaburi",1993,0.717405
"Nonthaburi",1994,0.740565
"Nonthaburi",1995,0.754627
"Nonthaburi",1996,0.783584
"Nonthaburi",1997,0.800709
"Nonthaburi",1998,0.826464
"Nonthaburi",1999,0.839029
"Nonthaburi",2000,0.859607
"Nonthaburi",2001,0.884077
"Nonthaburi",2002,0.905197
"Nonthaburi",2003,0.924923
"Nonthaburi",2004,0.942312
"Nonthaburi",2005,0.97228
"Nonthaburi",2006,0.999057
"Nonthaburi",2007,1.024191
"Nonthaburi",2008,1.052592
"Nonthaburi",2009,1.078071
"Nonthaburi",2010,1.101743
"Nonthaburi",2011,1.122627
"Nonthaburi",2012,1.141673
"Nonthaburi",2013,1.156271
"Nonthaburi",2014,1.17387
"Nonthaburi",2015,1.193711
"Nonthaburi",2016,1.211924
"Nonthaburi",2017,1.229735
"Nonthaburi",2018,1.246295
"Nonthaburi",2019,1.265387
"Nonthaburi",2020,1.276745
"Nonthaburi",2021,1.288637
"Nonthaburi",2022,1.31097025
"Nonthaburi",2023,1.33294299
"Nonthaburi",2024,1.35452344
"Nonthaburi",2025,1.37568105
"Nonthaburi",2026,1.39638993
