# File: Subregions_Malaysia_pcgdp.csv
# Title: Subregions and rest-of-Malaysia pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Malaysia",1971,1.816174558
"Malaysia",1972,1.94063198
"Malaysia",1973,2.117775279
"Malaysia",1974,2.239948206
"Malaysia",1975,2.203866838
"Malaysia",1976,2.398278111
"Malaysia",1977,2.519315894
"Malaysia",1978,2.618816846
"Malaysia",1979,2.791913636
"Malaysia",1980,3.014694588
"Malaysia",1981,3.147342337
"Malaysia",1982,3.256708341
"Malaysia",1983,3.379017705
"Malaysia",1984,3.551919464
"Malaysia",1985,3.423862206
"Malaysia",1986,3.370236
"Malaysia",1987,3.44259175
"Malaysia",1988,3.673435397
"Malaysia",1989,3.890474703
"Malaysia",1990,4.12313707
"Malaysia",1991,4.397179185
"Malaysia",1992,4.666248697
"Malaysia",1993,5.001056619
"Malaysia",1994,5.32708088
"Malaysia",1995,5.705012223
"Malaysia",1996,6.117412274
"Malaysia",1997,6.399379759
"Malaysia",1998,5.780481709
"Malaysia",1999,5.98726813
"Malaysia",2000,6.367908604
"Malaysia",2001,6.261874084
"Malaysia",2002,6.463343837
"Malaysia",2003,6.701707045
"Malaysia",2004,7.016590541
"Malaysia",2005,7.246895368
"Malaysia",2006,7.502296429
"Malaysia",2007,7.820128398
"Malaysia",2008,8.042773272
"Malaysia",2009,7.778520903
"Malaysia",2010,8.215948952
"Malaysia",2011,8.517157994
"Malaysia",2012,8.854398366
"Malaysia",2013,9.143941899
"Malaysia",2014,9.564125669
"Malaysia",2015,9.910828799
"Malaysia",2020,13.53850689
"Malaysia",2025,14.91167999
"Malaysia",2030,16.71954289
"Malaysia",2035,18.89162833
"Malaysia",2040,21.26301014
"Malaysia",2045,23.61566861
"Malaysia",2050,25.81622045
"Malaysia",2055,27.81740698
"Malaysia",2060,29.6753037
"Malaysia",2065,31.46953239
"Malaysia",2070,33.26649764
"Malaysia",2075,35.13620508
"Malaysia",2080,37.20188743
"Malaysia",2085,39.51427652
"Malaysia",2090,42.04373284
"Malaysia",2095,44.74979412
"Malaysia",2100,47.62105154
